sample_id,report_id,segment_id,is_ai_hit,business_line,ai_actor,actor_primary,actor_subtype,ai_scope,interaction_outcome,certainty_level,decision_status,confidence,review_reason_code,model_reason,source_text_for_review,file_path,annotator,review_comment
S001,6f84395e3681512f,S051,是,云诊室,销售对外介绍,销售对外介绍,,product_ai,positive_feedback,high,pending_human_review,0.69,,显式关键词: ai；云诊室关键词命中: 处方；主体关键词不足,回访赵老师，目前已经逐渐熟悉使用，有患者也会在平台处方，送商城礼品提升客情，沟通平台AI使用和商城分享。,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第1周/将军汤七战区（吉林区域）2026年工作周报.docx,codex_prelabel,这个属于是销售拿着AI作为回访/开拓客户的话术，但是在文本中没有看出反馈（即介绍以后医生是什么想法、有没有转化等）
S005,9f301cd0b59de885,S132,是,混合,潜在 AI 机会,潜在 AI 机会,行业趋势观察,market_trend,positive_feedback,high,pending_human_review,0.69,BROAD_STATEMENT,显式关键词: ai；云诊室关键词命中: 医生；主体关键词不足,本周两会盛大开幕，其中明确AI赋能基层医疗、数据互通、规范诊疗成为行业方向，互联网医疗正从“流量连接”转向专业价值与合规服务。这提醒我们，业务不能只停留在线上化，更要聚焦医生效率、患者体验、合规安全三大核心。后续工作中，我会更注重服务闭环与专业沉淀，在合规前提下提升服务质量与客户信任,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第1周/将军汤线上战区工作周报2026.3.7.docx,codex_prelabel,属于政策层面对于AI在医疗方向上的指导和肯定。也算是销售关于AI的思考。
S006,fec897ebce0fa769,S041,是,云诊室,销售对外介绍,销售对外介绍,复合语义:医生反馈,product_ai,converted,high,pending_human_review,0.69,,"显式关键词: ai；云诊室关键词命中: 医生,问诊,开方；主体关键词不足",李老师：线下拜访老师，持续了解老师最新的情况，老师反馈了今年医院的绩效会改，预计工资会下降，和老师传递线上的收益补充，主要沟通了甘草AI问诊助手的价值，举例了其他医生的反馈和评价，引起了老师的兴趣，有时间回去看看研究一下，本周开方有增长。,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第1周/2026年将军汤四战区周报.docx,codex_prelabel,这种相较于S001就是销售拿着AI作为回访/开拓客户的话术，而且有医生反馈，还有对应转化（因为AI — 医生感兴趣 — 然后提高使用进而带来业绩增长）。
S006,fec897ebce0fa769,S042,是,云诊室,销售对外介绍,销售对外介绍,复合语义:医生反馈,competitor_ai,converted,high,pending_human_review,0.69,,"显式关键词: ai,ai辅助；云诊室关键词命中: 问诊,开方,处方；主体关键词不足",周老师：出差拜访，给老师带了甘草生活的礼品，跟老师汇报上月的活动奖励情况，提醒老师注意查收，上月主要跟亲戚开的处方，反馈了甘草的药价比小鹿的贵，跟老师详细讲解自营药房的情况，高性价比，综合和小鹿对比药价甘草更有优势的，老师反馈了医院的中药集采了价格很便宜，了解老师平时网诊的情况，老师平时忙有时会忘记给患者开方情况，沟通在甘草问诊用AI辅助节省时间，老师习惯了原有的方式，给老师更换了最新头像，缔结了后续有合适的会继续开方。,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第1周/2026年将军汤四战区周报.docx,codex_prelabel,这种相较于S001就是销售拿着AI作为回访/开拓客户的话术，而且有医生反馈，反馈就是：医生了解到了，但可能暂时还不适应不了新模式（成功触达但暂时没有转化，可能属于比较保守守旧的医生，也侧面反映了一类用户对于Ai的态度）。
S007,375bd779e6b92683,S114,是,云诊室,销售对外介绍,销售对外介绍,,product_ai,positive_feedback,high,pending_human_review,0.69,,"显式关键词: ai,ai诊疗；云诊室关键词命中: 医生；主体关键词不足",李医生回访，老师这边换诊室了，但是患者还不多。说主要还是以医保为主，平台会给亲戚朋友开一下，有的同事也会找她开点药。觉得我们还是挺方便的，让老师多积累。同步了一下ai诊疗助手；,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第1周/2026年将军汤 五战区工作周报.docx,codex_prelabel,这个属于是销售拿着AI作为回访/开拓客户的话术，但是在文本中没有看出反馈（即介绍以后医生是什么想法、有没有转化等）
S007,375bd779e6b92683,S120,是,云诊室,销售对外介绍,销售对外介绍,复合语义:医生反馈,competitor_ai,not_applicable,high,pending_human_review,0.69,,"显式关键词: ai,ai诊疗；云诊室关键词命中: 医生；主体关键词不足",刘医生年后回访客情维护，最近患者不是很多。年前反馈的问题已经解决了。觉得ai诊疗助手还不是很成熟。主动问了下公司上市的事情。问了下竞品动态，说最近也没找过他。同学让他去固生堂医馆坐诊也都拒绝了；,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第1周/2026年将军汤 五战区工作周报.docx,codex_prelabel,这种相较于S001就是销售拿着AI作为回访/开拓客户的话术，而且有医生反馈，反馈就是医生了解到了，但可能暂时表示否定、观望。
S007,375bd779e6b92683,S146,是,云诊室,待判断,待判断,其他待判断;竞品AI动态,competitor_ai,not_applicable,medium,confirmed,0.69,ACTOR_OVERLAP,显式关键词: ai；云诊室关键词命中: 医生；主体关键词不足,回访朱老师，固生堂最近在联系老师，还发了一些对我们不友好的文章给老师，已经把信息也同步给运营了，有人给Ai投喂了一些黑我们的文章，备案已经把老师弄好了，税收这块走的劳务税很安全的，跟老师强调了初诊的患者需要规避一下风险。就在固生堂联系他的第二天，固生堂业务员就跑泉州去找他了，老师说足足跟他聊了半个小时，固生堂说他们备案可以在卫健委上查到，目前在所有平台里，他们最合规，老师把备案的截图都转给我看了，固生堂还说现在医生用的最多的是固生堂，其次是甘草医生，他说不知道怎么拒绝他，我电话里也跟老师聊了很多，该说的都说了，市场竞争肯定是不可避免的，我们诚实的告诉老师真实情况，不诋毁他人，做好我们自己。,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第1周/2026年将军汤 五战区工作周报.docx,codex_prelabel,这个仔细阅读理解可以发现，其实是竞品通过使用和AI相关的方式来进行商业竞争。而非AI功能、AI业务方面的问题。所以应该判定为其他。
S009,febc2d6f374f45ce,S035,是,云管家,潜在 AI 机会,潜在 AI 机会,效率提效机会,product_ai,not_applicable,medium,pending_human_review,0.6,,机会关键词: 智能化；业务线关键词不足；潜在 AI 机会关键词命中: 智能化,2）花窝村卫生所：反馈系统功能太表面，缺失一些智能化的；,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第2周/2026将军汤部门工作周报 - 3月2周-白兰花.docx,codex_prelabel,"xx卫生所，所以大概率是云管家（诊所线）。这个也可以根据销售所在的业务线去做一下判断。

内容方面，表达的比较宽泛，没有指出具体“智能化”需要解决什么问题。当然也可以判定为“潜在的AI机会”。"
S009,febc2d6f374f45ce,S116,是,混合,销售对外介绍,销售对外介绍,客户AI搜索线索;行业趋势观察,market_trend,positive_feedback,high,confirmed,0.99,,"显式关键词: ai；业务线双命中: 云管家,云诊室；销售对外介绍关键词命中: 介绍",3）江西客户：客户这边是一家健康管理公司，通过AI搜索，AI推荐的甘草云管家，主要对系统功能感兴趣，目前没有中医项目，和客户介绍了我们系统和云药房业务，客户后续有想法开展中医这一块，问了我们这边合作云药房需要哪些材料，让客户先找医生，办备案证，后续就可以合作开展中医业务。,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第2周/2026将军汤部门工作周报 - 3月2周-白兰花.docx,codex_prelabel,"这个属于是潜在客户通过AI搜索了解到了甘草的业务。不完全和我们的AI能力相关。但也表现出了客户会使用AI搜索去寻找合作方的趋势。
也许未来我们可以在AI搜索（广告）上发力。"
S010,7efa7bf7a17370f4,S149,是,混合,潜在 AI 机会,潜在 AI 机会,效率提效机会,general_ai,not_applicable,high,confirmed,0.69,SCOPE_AMBIGUOUS,显式关键词: ai；业务线关键词不足；主体关键词不足,1.大红袍分享的利用AI降本增效，这是一个非常不错的方式，也是科技发展的潮流。我也经常使用AI，觉得能够提供不一样的思路和方法，可以辅助解决挺多问题。有一个更深度的认识。,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第2周/将军汤线上战区工作周报2026.3.15.docx,codex_prelabel,表达的比较宽泛，大概率是销售通过AI工具来辅助工作进而提效。
S011,7a956353a1217bb6,S070,是,混合,销售自用,销售自用,效率提效机会,product_ai,positive_feedback,high,pending_human_review,0.69,,"显式关键词: ai,人工智能；业务线关键词不足；销售自用关键词命中: 学习",本周思考本周周会听到了最多的就是AI，人工智能是非常好用的，自己用的少一些，但是无论问什么他都能够比人类更高效，不论是选简历，股票都更方便，更准确更智能，AI也是很好的业务工具，能够适当的利用会提高工作效率，成功率，自己也要多用像科技去融入学习。,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2026/2026年03月第2周/2026年3月第2周 将军汤 七战区（辽宁）工作周报.docx,codex_prelabel,属于销售个人思考，或是销售通过AI工具来辅助工作进而提效。
S021,e1eb2a08f0f561b3,S019,是,混合,销售自用,销售自用,效率提效机会,product_ai,not_applicable,high,pending_human_review,0.69,,"显式关键词: 人工智能,deepseek；业务线关键词不足；销售自用关键词命中: deepseek",春节假期间不断使用deepseek，这款人工智能软件后面将对中医药行业也产生巨大影响,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2025/01月报/五战区25年1月月报.docx,codex_prelabel,属于销售个人思考，或是销售通过AI工具来辅助工作进而提效。
S023,1a1aabbead4858cf,S015,是,云诊室,医生反馈,医生反馈,复合语义:潜在 AI 机会;效率提效机会,product_ai,not_applicable,high,confirmed,0.99,,"显式关键词: 人工智能,deepseek；云诊室关键词命中: 医生；销售自用关键词命中: deepseek",中医行业叠加上人工智能未来行业模式玩法将全变，有医生在体验了DeepSeek后发文章称水平和自己很接近了，没想到来得这么快，一旦医生权重下降，未来拼搏的重点可能就在于供应链和用户端运营。,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2025/01月报/销售四战区2025年1月月报.docx,codex_prelabel,片段中明确提到了是“有医生体验了deepseek”。所以明显是医生的反馈，也算是一个市场机会。
S024,5fa8d2253e76ac5b,S025,是,混合,销售自用,销售自用,其他待判断,general_ai,not_applicable,medium,pending_human_review,0.69,BROAD_STATEMENT,显式关键词: 人工智能；业务线关键词不足；主体关键词不足,人工智能的发展让想到的基本都能做到，所以未来社会，做到不在是很厉害的事儿，能想到才是。,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2025/01月报/第六战区25年1月月报.docx,codex_prelabel,属于销售个人思考，比较宽泛了。
S024,5fa8d2253e76ac5b,S028,是,云诊室,潜在 AI 机会,潜在 AI 机会,效率提效机会,product_ai,not_applicable,medium,confirmed,0.75,,机会关键词: 资料整理；云诊室关键词命中: 医生；潜在 AI 机会关键词命中: 资料整理,区域假期医生资料整理，后续关注大家表格医生跟进情况,/Users/wales/Desktop/my-test-code_01/data/output/sales_reports/06 销售周报/2025/01月报/第六战区25年1月月报.docx,codex_prelabel,这个属于是销售日常的工作（整理拜访客户材料），属于是AI能够帮助销售提效的潜在机会。
